rank,name,city_state,city,state,acceptance_rate,price,SAT_range,SAT_low,SAT_high,region
113,Indiana University - Bloomington,"Bloomington, IN",Bloomington,IN,80,13191,1120-1350,1120,1350,Great Lakes
114,Michigan Technological University,"Houghton, MI",Houghton,MI,70,17356,1160-1350,1160,1350,Great Lakes
115,University of Massachusetts Amherst,"Amherst, MA",Amherst,MA,65,22505,1200-1390,1200,1390,New England
116,Pepperdine University,"Malibu, CA",Malibu,CA,42,46550,1200-1410,1200,1410,Far West
117,Bryn Mawr College,"Bryn Mawr, PA",Bryn Mawr,PA,38,37015,1310-1500,1310,1500,Mid East
118,University of Central Florida,"Orlando, FL",Orlando,FL,45,11108,1160-1340,1160,1340,Southeast
119,The University of Tulsa,"Tulsa, OK",Tulsa,OK,69,25333,1080-1330,1080,1330,Southwest
120,Brandeis University,"Waltham, MA",Waltham,MA,33,41222,1320-1510,1320,1510,New England
121,Trinity College - Connecticut,"Hartford, CT",Hartford,CT,36,26233,1300-1450,1300,1450,New England
122,Union College - New York,"Schenectady, NY",Schenectady,NY,41,37630,1210-1400,1210,1400,Mid East
123,University of Iowa,"Iowa City, IA",Iowa City,IA,84,17452,1110-1310,1110,1310,Plains
124,University of Utah,"Salt Lake City, UT",Salt Lake City,UT,79,12881,1130-1350,1130,1350,Rocky Mountains
125,Wheaton College - Illinois,"Wheaton, IL",Wheaton,IL,87,27474,1210-1450,1210,1450,Great Lakes
126,University of Alabama - Birmingham,"Birmingham, AL",Birmingham,AL,81,16978,1090-1340,1090,1340,Southeast
127,Arizona State University,"Tempe, AZ",Tempe,AZ,88,14653,1100-1320,1100,1320,Southwest
128,United States Merchant Marine Academy,"Kings Point, NY",Kings Point,NY,24,4574,1220-1360,1220,1360,Mid East
129,Occidental College,"Los Angeles, CA",Los Angeles,CA,41,41102,1270-1460,1270,1460,Far West
130,Florida International University,"Miami, FL",Miami,FL,58,8988,1110-1260,1110,1260,Southeast
131,University of Cincinnati,"Cincinnati, OH",Cincinnati,OH,76,22767,1120-1330,1120,1330,Great Lakes
132,Saint Louis University,"St. Louis, MO",St. Louis,MO,56,27872,1160-1370,1160,1370,Plains
133,Iowa State University,"Ames, IA",Ames,IA,88,16105,1010-1310,1010,1310,Plains
134,University of Mississippi,"University , MS",University ,MS,88,13540,1010-1230,1010,1230,Southeast
135,Auburn University,"Auburn, AL",Auburn,AL,85,24028,1150-1320,1150,1320,Southeast
136,University of South Carolina,"Columbia, SC",Columbia,SC,68,21784,1140-1340,1140,1340,Southeast
137,Mount Holyoke College,"South Hadley, MA",South Hadley,MA,52,31165,1270-1500,1270,1500,New England
138,Worcester Polytechnic Institute,"Worcester, MA",Worcester,MA,59,45834,1310-1480,1310,1480,New England
139,University of Oklahoma,"Norman, OK",Norman,OK,83,21836,1100-1300,1100,1300,Southwest
140,St. Olaf College,"Northfield, MN",Northfield,MN,51,27838,1150-1390,1150,1390,Plains
141,University of South Florida - Sarasota-Manatee,"Sarasota, FL",Sarasota,FL,24,2734,1160-1290,1160,1290,Southeast
142,Denison University,"Granville, OH",Granville,OH,28,39808,1220-1430,1220,1430,Great Lakes
143,University of Delaware,"Newark, DE",Newark,DE,66,19747,1150-1330,1150,1330,Mid East
144,University of Connecticut,"Storrs, CT",Storrs,CT,56,22233,1170-1390,1170,1390,New England
145,Loyola Marymount University,"Los Angeles, CA",Los Angeles,CA,50,48758,1210-1390,1210,1390,Far West
146,University of San Diego,"San Diego, CA",San Diego,CA,59,37547,1190-1370,1190,1370,Far West
147,American University,"Washington, DC",Washington,DC,39,37319,1220-1390,1220,1390,Mid East
148,Texas Tech University,"Lubbock, TX",Lubbock,TX,70,15452,1070-1240,1070,1240,Southwest
149,Stevens Institute of Technology,"Hoboken, NJ",Hoboken,NJ,53,40303,1320-1480,1320,1480,Mid East
150,University of Dayton,"Dayton, OH",Dayton,OH,81,32768,1080-1300,1080,1300,Great Lakes
151,Creighton University,"Omaha, NE",Omaha,NE,64,32355,1170-1350,1170,1350,Plains
152,California Polytechnic State University (Cal Poly) - San Luis Obispo,"San Luis Obispo, CA",San Luis Obispo,CA,38,20491,1240-1440,1240,1440,Far West
153,Wabash College,"Crawfordsville, IN",Crawfordsville,IN,63,24412,1120-1320,1120,1320,Great Lakes
154,Yeshiva University,"New York, NY",New York,NY,67,35603,1140-1410,1140,1410,Mid East
155,The University of Kansas,"Lawrence, KS",Lawrence,KS,91,20054,1070-1320,1070,1320,Plains
156,University of Missouri,"Columbia, MO",Columbia,MO,82,16930,1110-1320,1110,1320,Plains
157,Rhode Island School of Design,"Providence, RI",Providence,RI,27,40048,1250-1470,1250,1470,New England
158,The University of Alabama,"Tuscaloosa, AL",Tuscaloosa,AL,80,20518,1070-1330,1070,1330,Southeast
159,University of Portland,"Portland, OR",Portland,OR,77,37317,1130-1320,1130,1320,Far West
160,University of Nebraska - Lincoln,"Lincoln, NE",Lincoln,NE,78,17341,1110-1320,1110,1320,Plains
161,Bentley University,"Waltham, MA",Waltham,MA,58,42759,1180-1360,1180,1360,New England
162,SUNY College of Environmental Science & Forestry,"Syracuse, NY",Syracuse,NY,60,22133,1130-1300,1130,1300,Mid East
163,University of Colorado Denver,"Denver, CO",Denver,CO,66,15585,1000-1210,1000,1210,Rocky Mountains
164,Furman University,"Greenville, SC",Greenville,SC,65,37761,1230-1400,1230,1400,Southeast
165,University of Arkansas,"Fayetteville, AR",Fayetteville,AR,78,16759,1090-1280,1090,1280,Southeast
166,"Binghamton University, SUNY","Vestal, NY",Vestal,NY,43,19061,1290-1450,1290,1450,Mid East
167,Harding University,"Searcy, AR",Searcy,AR,55,19454,1060-1290,1060,1290,Southeast
168,California State University - Long Beach,"Long Beach, CA",Long Beach,CA,42,10568,1020-1240,1020,1240,Far West
169,University of Arizona,"Tucson, AZ",Tucson,AZ,85,15620,1090-1350,1090,1350,Southwest
170,Gettysburg College,"Gettysburg, PA",Gettysburg,PA,48,34850,1200-1370,1200,1370,Mid East
171,James Madison University,"Harrisonburg, VA",Harrisonburg,VA,80,18592,1120-1280,1120,1280,Southeast
172,Baylor University,"Waco, TX",Waco,TX,68,40133,1200-1380,1200,1380,Southwest
173,Connecticut College,"New London, CT",New London,CT,38,40474,1310-1450,1310,1450,New England
174,Clark University,"Worcester, MA",Worcester,MA,47,30617,1150-1350,1150,1350,New England
175,Point Loma Nazarene University,"San Diego, CA",San Diego,CA,84,34644,1100-1290,1100,1290,Far West
176,Rhodes College,"Memphis, TN",Memphis,TN,51,29852,1220-1400,1220,1400,Southeast
177,DePauw University,"Greencastle, IN",Greencastle,IN,68,30183,1110-1360,1110,1360,Great Lakes
178,Mississippi College,"Clinton, MS",Clinton,MS,29,18800,1140-1260,1140,1260,Southeast
179,Oregon State University,"Corvallis, OR",Corvallis,OR,82,21444,1080-1310,1080,1310,Far West
180,Andrews University,"Berrien Springs, MI",Berrien Springs,MI,49,22850,1030-1380,1030,1380,Great Lakes
181,University of South Florida - St. Petersburg,"St. Petersburg, FL",St. Petersburg,FL,27,10841,1140-1280,1140,1280,Southeast
182,Drake University,"Des Moines, IA",Des Moines,IA,68,30321,1110-1340,1110,1340,Plains
183,University of Colorado Boulder,"Boulder, CO",Boulder,CO,84,21198,1130-1350,1130,1350,Rocky Mountains
184,San Diego State University,"San Diego, CA",San Diego,CA,37,13192,1090-1300,1090,1300,Far West
185,Kansas State University,"Manhattan, KS",Manhattan,KS,95,18494,,,,Plains
186,New Mexico Tech,"Socorro, NM",Socorro,NM,97,14834,1150-1370,1150,1370,Southwest
187,Lewis & Clark College,"Portland, OR",Portland,OR,80,37478,1210-1380,1210,1380,Far West
188,South Dakota School of Mines & Technology,"Rapid City, SD",Rapid City,SD,86,19799,1150-1350,1150,1350,Plains
189,Virginia Military Institute,"Lexington, VA",Lexington,VA,60,18969,1070-1260,1070,1260,Southeast
190,Johnson University,"Knoxville, TN",Knoxville,TN,55,18292,990-1200,990,1200,Southeast
191,Mississippi State University,"Mississippi State, MS",Mississippi State,MS,80,16402,1050-1270,1050,1270,Southeast
192,Fairfield University,"Fairfield, CT",Fairfield,CT,56,43173,1190-1340,1190,1340,New England
193,Washington State University,"Pullman, WA",Pullman,WA,80,17931,1020-1210,1020,1210,Far West
194,College of the Ozarks,"Point Lookout, MO",Point Lookout,MO,14,7505,1090-1240,1090,1240,Plains
195,Lipscomb University,"Nashville, TN",Nashville,TN,62,26421,1080-1310,1080,1310,Southeast
196,Chapman University,"Orange, CA",Orange,CA,58,44327,1170-1350,1170,1350,Far West
197,Union University,"Jackson, TN",Jackson,TN,58,26906,1070-1330,1070,1330,Southeast
198,Lawrence University,"Appleton, WI",Appleton,WI,69,26594,1190-1410,1190,1410,Great Lakes
199,Cedarville University,"Cedarville, OH",Cedarville,OH,59,24965,1110-1350,1110,1350,Great Lakes
200,University of Wyoming,"Laramie, WY",Laramie,WY,94,12224,1040-1240,1040,1240,Rocky Mountains
201,Franciscan Missionaries of Our Lady University,"Baton Rouge, LA",Baton Rouge,LA,47,14531,,,,Southeast
202,Embry-Riddle Aeronautical University - Daytona Beach,"Daytona Beach, FL",Daytona Beach,FL,61,36906,1120-1330,1120,1330,Southeast
203,University of St. Thomas - Minnesota,"Saint Paul, MN",Saint Paul,MN,87,31799,1130-1340,1130,1340,Plains
204,Drexel University,"Philadelphia, PA",Philadelphia,PA,77,39463,1180-1380,1180,1380,Mid East
205,Florida Institute of Technology,"Melbourne, FL",Melbourne,FL,70,33313,1130-1330,1130,1330,Southeast
206,Syracuse University,"Syracuse, NY",Syracuse,NY,69,47177,1180-1380,1180,1380,Mid East
207,University of San Francisco,"San Francisco, CA",San Francisco,CA,70,42801,1140-1330,1140,1330,Far West
208,John Brown University,"Siloam Springs, AR",Siloam Springs,AR,59,21578,1090-1310,1090,1310,Southeast
209,Oberlin College,"Oberlin, OH",Oberlin,OH,35,42745,1270-1360,1270,1360,Great Lakes
210,College of Wooster,"Wooster, OH",Wooster,OH,65,27923,1150-1380,1150,1380,Great Lakes
211,CUNY John Jay College of Criminal Justice,"New York, NY",New York,NY,37,4221,1020-1160,1020,1160,Mid East
212,"University at Buffalo, SUNY","Buffalo, NY",Buffalo,NY,67,18119,1140-1310,1140,1310,Mid East
213,DePaul University,"Chicago, IL",Chicago,IL,70,33319,1050-1260,1050,1260,Great Lakes
214,University of Louisville,"Louisville, KY",Louisville,KY,65,17894,1050-1270,1050,1270,Southeast
