,rank,name,city_state,city,state,acceptance,price,SAT_range,SAT_low,SAT_high
229,230,West Virginia University,"Morgantown, WV",Morgantown,WV,84,13087.0,1030-1230,1030.0,1230.0
230,231,University of Tennessee,"Knoxville, TN",Knoxville,TN,78,21133.0,1140-1320,1140.0,1320.0
231,232,University of Houston,"Houston, TX",Houston,TX,63,14480.0,1120-1310,1120.0,1310.0
232,233,The College of New Jersey,"Ewing, NJ",Ewing,NJ,51,24617.0,1140-1320,1140.0,1320.0
233,234,Ohio University,"Athens, OH",Athens,OH,87,23307.0,1050-1250,1050.0,1250.0
234,235,Hope College,"Holland, MI",Holland,MI,78,30320.0,1130-1330,1130.0,1330.0
235,236,Moody Bible Institute,"Chicago, IL",Chicago,IL,98,18790.0,990-1200,990.0,1200.0
236,237,Gustavus Adolphus College,"Saint Peter, MN",Saint Peter,MN,71,26701.0,1080-1340,1080.0,1340.0
237,238,Muhlenberg College,"Allentown, PA",Allentown,PA,62,35152.0,1170-1350,1170.0,1350.0
238,239,Lake Forest College,"Lake Forest, IL",Lake Forest,IL,58,26968.0,1020-1240,1020.0,1240.0
239,240,Nova Southeastern University,"Fort Lauderdale, FL",Fort Lauderdale,FL,76,26317.0,1030-1240,1030.0,1240.0
240,241,Liberty University,"Lynchburg, VA",Lynchburg,VA,50,28762.0,1040-1250,1040.0,1250.0
241,242,Samford University,"Birmingham, AL",Birmingham,AL,84,31322.0,1060-1240,1060.0,1240.0
242,243,Mercer University,"Macon, GA",Macon,GA,78,21693.0,1180-1340,1180.0,1340.0
243,244,St. Bonaventure University,"Saint Bonaventure, NY",Saint Bonaventure,NY,76,23748.0,1030-1230,1030.0,1230.0
244,245,Loyola University Chicago,"Chicago, IL",Chicago,IL,71,37731.0,1130-1330,1130.0,1330.0
245,246,University of Oregon,"Eugene, OR",Eugene,OR,84,17646.0,1090-1290,1090.0,1290.0
246,247,Whitman College,"Walla Walla, WA",Walla Walla,WA,54,38989.0,1230-1430,1230.0,1430.0
247,248,Hallmark University,"San Antonio, TX",San Antonio,TX,41,9887.0,,,
248,249,College of Saint Mary,"Omaha, NE",Omaha,NE,50,15128.0,,,
249,250,CUNY Baruch College,"New York, NY",New York,NY,41,3897.0,1170-1360,1170.0,1360.0
